run_id,version,trade_id,symbol,side,entry_time,entry_price,exit_time,exit_price,sl,tp,exit_reason,risk_reward_at_open,heat_pips,mae_pips,mfe_pips,duration_minutes,profit_pips,r_multiple,soft_exit_saved,soft_exit_outcome,m5_prev_open,m5_prev_high,m5_prev_low,m5_prev_close,m5_prev_volume,m5_last_open,m5_last_high,m5_last_low,m5_last_close,m5_last_volume,m5_close_open,m5_close_high,m5_close_low,m5_close_close,m5_close_volume,m15_ema20,m15_ema50,m15_ema200,m15_rsi,m15_macd_hist,m15_atr,m15_trend,h1_ema20,h1_ema50,h1_ema200,h1_rsi,h1_macd_hist,h1_atr,h1_trend,close_m15_ema20,close_m15_ema50,close_m15_ema200,close_m15_rsi,close_m15_macd_hist,close_m15_atr,close_m15_trend,close_h1_ema20,close_h1_ema50,close_h1_ema200,close_h1_rsi,close_h1_macd_hist,close_h1_atr,close_h1_trend
grid_20251108T163755,1,EURUSD-2025-09-29T12:35:00.000Z-0,EURUSD,BUY,2025-09-29T12:35:00.000Z,1.17384,2025-09-29T17:00:00.000Z,1.17283,1.1717,1.17812,soft_exit,2,11.5,11.5,0,265,-10.1,-0.47,1,SL,1.17213,1.17235,1.17185,1.17233,,1.17234,1.17384,1.1723,1.17384,,1.17292,1.17314,1.17276,1.17283,,1.17221,1.17192,1.16933,61.27,0.0001,0.00083,bullish,1.17179,1.17123,1.17613,72.59,0.0002,0.00132,bullish,1.17299,1.17263,1.16956,47.45,-0.0001,0.00069,bullish,1.17224,1.17155,1.17584,51.75,-0.0001,0.00141,bullish
grid_20251108T163755,1,EURUSD-2025-09-30T07:15:00.000Z-1,EURUSD,BUY,2025-09-30T07:15:00.000Z,1.17464,2025-09-30T10:00:00.000Z,1.17485,1.17359,1.17674,soft_exit,2,9.9,9.9,14.7,165,2.1,0.2,1,SL,1.17405,1.17433,1.174,1.17428,,1.1743,1.17472,1.17425,1.17464,,1.17481,1.17514,1.17481,1.17485,,1.1733,1.1729,1.17126,70.75,0.0002,0.00049,bullish,1.17276,1.17211,1.17508,62.4,0.0001,0.00089,bullish,1.17432,1.17358,1.17165,52.77,-0.0001,0.00069,bullish,1.17333,1.17243,1.17498,60.61,0.0002,0.00104,bullish
grid_20251108T163755,1,EURUSD-2025-09-30T08:00:00.000Z-2,EURUSD,BUY,2025-09-30T08:00:00.000Z,1.17464,2025-09-30T10:00:00.000Z,1.17485,1.17374,1.17644,soft_exit,2,1.3,1.3,14.7,120,2.1,0.23,1,SL,1.17416,1.17421,1.17389,1.17417,,1.17441,1.1747,1.17432,1.17464,,1.17481,1.17514,1.17481,1.17485,,1.17359,1.17307,1.17136,69.11,0.0001,0.00056,bullish,1.17303,1.17224,1.17505,68.94,0.0002,0.00094,bullish,1.17432,1.17358,1.17165,52.77,-0.0001,0.00069,bullish,1.17333,1.17243,1.17498,60.61,0.0002,0.00104,bullish
grid_20251108T163755,1,EURUSD-2025-09-30T08:05:00.000Z-3,EURUSD,BUY,2025-09-30T08:05:00.000Z,1.17496,2025-09-30T10:00:00.000Z,1.17485,1.17374,1.1774,soft_exit,2,4.5,4.5,11.5,115,-1.1,-0.09,1,SL,1.17441,1.1747,1.17432,1.17464,,1.17462,1.17498,1.17455,1.17496,,1.17481,1.17514,1.17481,1.17485,,1.17359,1.17307,1.17136,69.11,0.0001,0.00056,bullish,1.17303,1.17224,1.17505,68.94,0.0002,0.00094,bullish,1.17432,1.17358,1.17165,52.77,-0.0001,0.00069,bullish,1.17333,1.17243,1.17498,60.61,0.0002,0.00104,bullish
grid_20251108T163755,1,EURUSD-2025-09-30T09:40:00.000Z-4,EURUSD,BUY,2025-09-30T09:40:00.000Z,1.17494,2025-09-30T10:00:00.000Z,1.17485,1.1744,1.17602,soft_exit,2,2.9,2.9,2.6,20,-0.9,-0.17,1,SL,1.17468,1.17481,1.17455,1.17455,,1.17456,1.17497,1.17451,1.17494,,1.17481,1.17514,1.17481,1.17485,,1.17426,1.1735,1.17158,60.67,0,0.00067,bullish,1.1732,1.17234,1.17502,62.61,0.0002,0.00099,bullish,1.17432,1.17358,1.17165,52.77,-0.0001,0.00069,bullish,1.17333,1.17243,1.17498,60.61,0.0002,0.00104,bullish
grid_20251108T163755,1,EURUSD-2025-09-30T09:45:00.000Z-5,EURUSD,BUY,2025-09-30T09:45:00.000Z,1.17514,2025-09-30T10:00:00.000Z,1.17485,1.17436,1.1767,soft_exit,2,4.9,4.9,0,15,-2.9,-0.37,1,SL,1.17456,1.17497,1.17451,1.17494,,1.1749,1.1752,1.1749,1.17514,,1.17481,1.17514,1.17481,1.17485,,1.17432,1.17355,1.17162,58.93,0,0.00067,bullish,1.1732,1.17234,1.17502,62.61,0.0002,0.00099,bullish,1.17432,1.17358,1.17165,52.77,-0.0001,0.00069,bullish,1.17333,1.17243,1.17498,60.61,0.0002,0.00104,bullish
grid_20251108T163755,1,EURUSD-2025-09-30T14:30:00.000Z-6,EURUSD,BUY,2025-09-30T14:30:00.000Z,1.17443,2025-09-30T15:00:00.000Z,1.17433,1.1734,1.17649,soft_exit,2,2.2,2.2,8,30,-1,-0.1,1,SL,1.17377,1.17428,1.17357,1.17407,,1.17408,1.17456,1.17408,1.17443,,1.17498,1.17503,1.17426,1.17433,,1.17389,1.1737,1.17223,56.88,0.0001,0.00097,bullish,1.17356,1.17266,1.17486,60.12,0,0.00138,bullish,1.17394,1.17374,1.17228,46.95,0.0001,0.00108,bullish,1.17355,1.17269,1.17482,50.78,-0.0001,0.00147,bullish
grid_20251108T163755,1,EURUSD-2025-09-30T14:35:00.000Z-7,EURUSD,BUY,2025-09-30T14:35:00.000Z,1.17496,2025-09-30T15:00:00.000Z,1.17433,1.17342,1.17804,soft_exit,2,7,7,2.7,25,-6.3,-0.41,1,SL,1.17408,1.17456,1.17408,1.17443,,1.17432,1.17496,1.17421,1.17496,,1.17498,1.17503,1.17426,1.17433,,1.17389,1.1737,1.17223,56.88,0.0001,0.00097,bullish,1.17356,1.17266,1.17486,60.12,0,0.00138,bullish,1.17394,1.17374,1.17228,46.95,0.0001,0.00108,bullish,1.17355,1.17269,1.17482,50.78,-0.0001,0.00147,bullish
grid_20251108T163755,1,EURUSD-2025-09-30T16:25:00.000Z-8,EURUSD,BUY,2025-09-30T16:25:00.000Z,1.17424,2025-09-30T17:20:00.000Z,1.17594,1.17339,1.17594,hard_tp,2,1.1,1.1,19.1,55,17,2,0,,1.17389,1.17405,1.17387,1.17392,,1.17393,1.17424,1.17393,1.17424,,1.17572,1.17615,1.17567,1.17569,,1.17374,1.17368,1.1724,53.42,0,0.00109,bullish,1.17375,1.17281,1.17478,60.33,0,0.00157,bullish,1.17431,1.17394,1.17252,60.71,0.0002,0.00097,bullish,1.17386,1.17289,1.17474,56.47,0.0001,0.00163,bullish
grid_20251108T163755,1,EURUSD-2025-10-01T06:25:00.000Z-9,EURUSD,BUY,2025-10-01T06:25:00.000Z,1.17588,2025-10-01T06:40:00.000Z,1.17724,1.1752,1.17724,hard_tp,2,1.1,1.1,15.8,15,13.6,2,0,,1.17551,1.17575,1.17537,1.17569,,1.17569,1.17591,1.17567,1.17588,,1.17647,1.17746,1.17643,1.1772,,1.17482,1.17428,1.17337,66.68,0.0002,0.00053,bullish,1.17432,1.17346,1.17441,65.4,0.0002,0.00107,bullish,1.17505,1.1744,1.17339,75.27,0.0002,0.00063,bullish,1.17432,1.17346,1.17441,65.4,0.0002,0.00107,bullish
grid_20251108T163755,1,EURUSD-2025-10-02T03:10:00.000Z-10,EURUSD,BUY,2025-10-02T03:10:00.000Z,1.17382,2025-10-02T03:35:00.000Z,1.1734,1.1734,1.17466,hard_sl,2,4.7,4.7,0.6,25,-4.2,-1,0,,1.17366,1.17367,1.17355,1.17363,,1.17362,1.17383,1.17361,1.17382,,1.17361,1.17361,1.17335,1.17342,,1.17347,1.17344,1.1738,56.85,0.0001,0.00046,bullish,1.17351,1.17346,1.17413,49.83,0,0.00122,bullish,1.17347,1.17344,1.17381,47.27,0,0.00042,bullish,1.17351,1.17346,1.17413,49.83,0,0.00122,bullish
grid_20251108T163755,1,EURUSD-2025-10-02T06:00:00.000Z-11,EURUSD,BUY,2025-10-02T06:00:00.000Z,1.17417,2025-10-02T10:00:00.000Z,1.17496,1.1732,1.17611,soft_exit,2,7.7,7.7,16.5,240,7.9,0.81,1,SL,1.17341,1.17358,1.17338,1.17355,,1.17357,1.17422,1.17357,1.17417,,1.17544,1.17545,1.17464,1.17496,,1.17346,1.17344,1.17387,61.19,0,0.00038,bullish,1.17358,1.17349,1.17412,54.52,0.0001,0.00089,bullish,1.17481,1.17421,1.17398,53.18,0,0.00072,bullish,1.17414,1.17375,1.17416,58.85,0.0003,0.00089,bullish
grid_20251108T163755,1,EURUSD-2025-10-02T06:50:00.000Z-12,EURUSD,BUY,2025-10-02T06:50:00.000Z,1.17402,2025-10-02T07:45:00.000Z,1.17554,1.17326,1.17554,hard_tp,2,1.1,1.1,16.4,55,15.2,2,0,,1.17366,1.17388,1.17341,1.17345,,1.17343,1.17406,1.1734,1.17402,,1.1753,1.17566,1.17524,1.1756,,1.17359,1.17349,1.17389,60.06,0.0001,0.00049,bullish,1.17358,1.17349,1.17412,54.52,0.0001,0.00089,bullish,1.17406,1.17372,1.17393,62.33,0.0002,0.00064,bullish,1.17371,1.17355,1.17412,58.86,0.0002,0.00093,bullish
grid_20251108T163755,1,EURUSD-2025-10-02T07:00:00.000Z-13,EURUSD,BUY,2025-10-02T07:00:00.000Z,1.17481,2025-10-02T10:00:00.000Z,1.17496,1.17325,1.17793,soft_exit,2,3.2,3.2,10.1,180,1.5,0.1,1,SL,1.17404,1.17434,1.17391,1.17425,,1.1743,1.17485,1.1741,1.17481,,1.17544,1.17545,1.17464,1.17496,,1.17373,1.17356,1.1739,67.8,0.0001,0.00055,bullish,1.17371,1.17355,1.17412,58.86,0.0002,0.00093,bullish,1.17481,1.17421,1.17398,53.18,0,0.00072,bullish,1.17414,1.17375,1.17416,58.85,0.0003,0.00089,bullish
grid_20251108T163755,1,EURUSD-2025-10-02T08:50:00.000Z-14,EURUSD,BUY,2025-10-02T08:50:00.000Z,1.17551,2025-10-02T10:00:00.000Z,1.17496,1.17434,1.17785,soft_exit,2,8.7,8.7,3.1,70,-5.5,-0.47,1,SL,1.17497,1.17527,1.1748,1.17521,,1.17522,1.17551,1.175,1.17551,,1.17544,1.17545,1.17464,1.17496,,1.17446,1.17395,1.17396,62.32,0.0001,0.00074,bullish,1.17387,1.17362,1.17413,60.77,0.0002,0.00087,bullish,1.17481,1.17421,1.17398,53.18,0,0.00072,bullish,1.17414,1.17375,1.17416,58.85,0.0003,0.00089,bullish
grid_20251108T163755,1,EURUSD-2025-10-02T09:10:00.000Z-15,EURUSD,BUY,2025-10-02T09:10:00.000Z,1.17566,2025-10-02T10:00:00.000Z,1.17496,1.17496,1.17706,hard_sl,2,10.2,10.2,1.6,50,-7,-1,0,,1.17554,1.17558,1.17511,1.17518,,1.17516,1.17567,1.17516,1.17566,,1.17544,1.17545,1.17464,1.17496,,1.17457,1.17401,1.17397,64.6,0.0001,0.00074,bullish,1.17403,1.17369,1.17414,61.36,0.0003,0.00088,bullish,1.17481,1.17421,1.17398,53.18,0,0.00072,bullish,1.17414,1.17375,1.17416,58.85,0.0003,0.00089,bullish
grid_20251108T163755,1,EURUSD-2025-10-02T09:50:00.000Z-16,EURUSD,BUY,2025-10-02T09:50:00.000Z,1.17558,2025-10-02T10:00:00.000Z,1.17506,1.17506,1.17662,hard_sl,2,9.4,9.4,0.2,10,-5.2,-1,0,,1.17541,1.17551,1.17525,1.17529,,1.17525,1.17558,1.17506,1.17558,,1.17544,1.17545,1.17464,1.17496,,1.1748,1.17418,1.17398,61.45,0.0001,0.00073,bullish,1.17403,1.17369,1.17414,61.36,0.0003,0.00088,bullish,1.17481,1.17421,1.17398,53.18,0,0.00072,bullish,1.17414,1.17375,1.17416,58.85,0.0003,0.00089,bullish
grid_20251108T163755,1,EURUSD-2025-10-06T00:10:00.000Z-17,EURUSD,SELL,2025-10-06T00:10:00.000Z,1.17129,2025-10-06T01:40:00.000Z,1.17203,1.17203,1.16981,hard_sl,2,7.8,7.8,2.8,90,-7.4,-1,0,,1.17171,1.17188,1.1714,1.17165,,1.17164,1.17164,1.17117,1.17129,,1.17186,1.17207,1.17172,1.17191,,1.17222,1.17234,1.17301,37.48,-0.0002,0.00064,bearish,1.17311,1.17315,1.17301,38.47,-0.0003,0.0011,bearish,1.17188,1.17215,1.17296,49.1,0,0.00066,bearish,1.17304,1.17312,1.17297,45.1,-0.0003,0.00111,bearish
grid_20251108T163755,1,EURUSD-2025-10-06T00:35:00.000Z-18,EURUSD,SELL,2025-10-06T00:35:00.000Z,1.17111,2025-10-06T01:15:00.000Z,1.17186,1.17186,1.16961,hard_sl,2,7.9,7.9,0.8,40,-7.5,-1,0,,1.17125,1.17136,1.17116,1.17126,,1.17123,1.17123,1.17106,1.17111,,1.17168,1.1719,1.1716,1.17161,,1.17202,1.17225,1.17298,35.51,-0.0002,0.00063,bearish,1.17311,1.17315,1.17301,38.47,-0.0003,0.0011,bearish,1.17188,1.17216,1.17296,39.21,-0.0001,0.00064,bearish,1.17304,1.17312,1.17297,45.1,-0.0003,0.00111,bearish
grid_20251108T163755,1,EURUSD-2025-10-06T01:00:00.000Z-19,EURUSD,SELL,2025-10-06T01:00:00.000Z,1.17132,2025-10-06T01:15:00.000Z,1.17184,1.17184,1.17028,hard_sl,2,5.8,5.8,0.2,15,-5.2,-1,0,,1.1714,1.17162,1.17138,1.1716,,1.17172,1.17172,1.17129,1.17132,,1.17168,1.1719,1.1716,1.17161,,1.17195,1.1722,1.17296,44.24,-0.0001,0.00065,bearish,1.17304,1.17312,1.17297,45.1,-0.0003,0.00111,bearish,1.17188,1.17216,1.17296,39.21,-0.0001,0.00064,bearish,1.17304,1.17312,1.17297,45.1,-0.0003,0.00111,bearish
