run_id,version,trade_id,symbol,side,entry_time,entry_price,exit_time,exit_price,sl,tp,exit_reason,risk_reward_at_open,heat_pips,mae_pips,mfe_pips,duration_minutes,profit_pips,r_multiple,soft_exit_saved,soft_exit_outcome,m5_prev_open,m5_prev_high,m5_prev_low,m5_prev_close,m5_prev_volume,m5_last_open,m5_last_high,m5_last_low,m5_last_close,m5_last_volume,m5_close_open,m5_close_high,m5_close_low,m5_close_close,m5_close_volume,m15_ema20,m15_ema50,m15_ema200,m15_rsi,m15_macd_hist,m15_atr,m15_trend,h1_ema20,h1_ema50,h1_ema200,h1_rsi,h1_macd_hist,h1_atr,h1_trend,close_m15_ema20,close_m15_ema50,close_m15_ema200,close_m15_rsi,close_m15_macd_hist,close_m15_atr,close_m15_trend,close_h1_ema20,close_h1_ema50,close_h1_ema200,close_h1_rsi,close_h1_macd_hist,close_h1_atr,close_h1_trend
grid_20251108T163755,1,USDJPY-2025-09-29T07:15:00.000Z-0,USDJPY,SELL,2025-09-29T07:15:00.000Z,148.659,2025-09-29T21:30:00.000Z,148.57401,148.82201,148.33298,close_fn,2,15.3,15.3,19.2,855,8.5,0.52,0,,148.776,148.787,148.67,148.698,,148.696,148.70599,148.642,148.659,,148.60201,148.60899,148.56,148.57401,,148.87495,149.099,149.39918,28.53,-0.0009,0.09607,bearish,149.17918,149.20642,148.09452,23.59,-0.0933,0.17172,bearish,148.60207,148.65533,149.27112,42.41,-0.0012,0.06636,bearish,148.74141,148.94578,148.24233,33.66,0.0236,0.14707,bearish
grid_20251108T163755,1,USDJPY-2025-09-30T08:00:00.000Z-1,USDJPY,SELL,2025-09-30T08:00:00.000Z,147.955,2025-09-30T18:00:00.000Z,147.814,148.12199,147.62102,close_fn,2,14.3,14.3,31,600,14.1,0.84,0,,147.99699,148.10699,147.995,148.047,,148.045,148.09399,147.955,147.955,,147.78101,147.82001,147.76401,147.814,,148.22767,148.41748,148.99445,20.21,-0.0322,0.12079,bearish,148.46847,148.74682,148.35058,18.92,-0.054,0.19635,bearish,147.83941,147.98103,148.62551,42.63,-0.001,0.10629,bearish,148.08709,148.46001,148.39244,37.61,-0.0027,0.22728,bearish
grid_20251108T163755,1,USDJPY-2025-09-30T14:05:00.000Z-2,USDJPY,SELL,2025-09-30T14:05:00.000Z,147.741,2025-09-30T23:55:00.000Z,148.019,148.019,147.185,hard_sl,2,28.7,28.7,9.6,590,-27.8,-1,0,,147.897,148.004,147.827,147.89,,147.882,147.897,147.73399,147.741,,147.965,148.028,147.965,148.021,,147.964,148.12619,148.77901,26.49,-0.0033,0.1005,bearish,148.21207,148.56836,148.38074,21.86,-0.0359,0.21628,bearish,147.89011,147.92434,148.43755,63.44,0.0134,0.07186,bearish,148.01775,148.35987,148.40778,46.19,0.041,0.19121,bearish
grid_20251108T163755,1,USDJPY-2025-09-30T14:50:00.000Z-3,USDJPY,SELL,2025-09-30T14:50:00.000Z,147.73801,2025-09-30T15:10:00.000Z,147.868,147.868,147.47803,hard_sl,2,16.6,16.6,9.1,20,-13,-1,0,,147.814,147.847,147.789,147.797,,147.795,147.82201,147.72701,147.73801,,147.795,147.90401,147.784,147.892,,147.91239,148.08564,148.74737,29.29,-0.0143,0.12107,bearish,148.21207,148.56836,148.38074,21.86,-0.0359,0.21628,bearish,147.91044,148.07805,148.73765,46.43,-0.0045,0.13521,bearish,148.18873,148.54481,148.38535,37.44,-0.0187,0.22814,bearish
grid_20251108T163755,1,USDJPY-2025-09-30T18:10:00.000Z-4,USDJPY,SELL,2025-09-30T18:10:00.000Z,147.785,2025-09-30T18:30:00.000Z,147.856,147.856,147.643,hard_sl,2,9.8,9.8,0.1,20,-7.1,-1,0,,147.81,147.841,147.806,147.821,,147.821,147.827,147.782,147.785,,147.823,147.883,147.813,147.87399,,147.83941,147.98103,148.62551,42.63,-0.001,0.10629,bearish,148.08709,148.46001,148.39244,37.61,-0.0027,0.22728,bearish,147.83781,147.96945,148.60828,47.93,0.0083,0.0845,bearish,148.08709,148.46001,148.39244,37.61,-0.0027,0.22728,bearish
grid_20251108T163755,1,USDJPY-2025-10-01T07:35:00.000Z-5,USDJPY,SELL,2025-10-01T07:35:00.000Z,147.13699,2025-10-01T12:15:00.000Z,146.73695,147.33701,146.73695,hard_tp,2,12.9,12.9,55.7,280,40,2,0,,147.187,147.32201,147.17999,147.26601,,147.269,147.30099,147.13699,147.13699,,147.08099,147.114,146.58,146.683,,147.48978,147.70999,148.22223,30.02,-0.0451,0.15015,bearish,147.78093,148.16093,148.39721,24.06,-0.0517,0.20164,bearish,147.12793,147.3736,148.07469,33.71,0.0093,0.13921,bearish,147.4831,147.95698,148.37424,21.12,-0.0655,0.25222,bearish
grid_20251108T163755,1,USDJPY-2025-10-01T07:45:00.000Z-6,USDJPY,SELL,2025-10-01T07:45:00.000Z,147.11,2025-10-01T12:15:00.000Z,146.69802,147.31599,146.69802,hard_tp,2,15.6,15.6,53,270,41.2,2,0,,147.13499,147.258,147.131,147.198,,147.194,147.211,147.104,147.11,,147.08099,147.114,146.58,146.683,,147.45485,147.68696,148.21396,27.77,-0.039,0.15122,bearish,147.78093,148.16093,148.39721,24.06,-0.0517,0.20164,bearish,147.12793,147.3736,148.07469,33.71,0.0093,0.13921,bearish,147.4831,147.95698,148.37424,21.12,-0.0655,0.25222,bearish
grid_20251108T163755,1,USDJPY-2025-10-01T13:00:00.000Z-7,USDJPY,SELL,2025-10-01T13:00:00.000Z,146.71001,2025-10-01T14:10:00.000Z,146.924,146.924,146.28203,hard_sl,2,30.2,30.2,9.8,70,-21.4,-1,0,,146.868,146.908,146.78999,146.79401,,146.78999,146.826,146.709,146.71001,,146.90601,147.01199,146.90199,146.996,,147.04004,147.30737,148.04631,32.97,-0.0101,0.15636,bearish,147.40995,147.90827,148.36751,20.02,-0.07,0.25464,bearish,146.95365,147.22801,148.00743,48.66,0.0061,0.168,bearish,147.35738,147.86709,148.36185,27.42,-0.0575,0.26571,bearish
grid_20251108T163755,1,USDJPY-2025-10-01T13:20:00.000Z-8,USDJPY,SELL,2025-10-01T13:20:00.000Z,146.731,2025-10-01T14:05:00.000Z,146.888,146.888,146.417,hard_sl,2,18.4,18.4,11.9,45,-15.7,-1,0,,146.806,146.873,146.795,146.804,,146.799,146.82899,146.711,146.731,,146.81799,146.91499,146.782,146.90199,,147.00794,147.28366,148.03589,29.41,-0.0154,0.15843,bearish,147.40995,147.90827,148.36751,20.02,-0.07,0.25464,bearish,146.95365,147.22801,148.00743,48.66,0.0061,0.168,bearish,147.35738,147.86709,148.36185,27.42,-0.0575,0.26571,bearish
grid_20251108T163755,1,USDJPY-2025-10-01T13:30:00.000Z-9,USDJPY,SELL,2025-10-01T13:30:00.000Z,146.64301,2025-10-01T14:00:00.000Z,146.84399,146.84399,146.24105,hard_sl,2,22,22,3.1,30,-20.1,-1,0,,146.73,146.752,146.694,146.703,,146.705,146.71201,146.62199,146.64301,,146.714,146.86301,146.683,146.821,,146.97385,147.25881,148.0257,27.81,-0.02,0.15943,bearish,147.40995,147.90827,148.36751,20.02,-0.07,0.25464,bearish,146.95365,147.22801,148.00743,48.66,0.0061,0.168,bearish,147.35738,147.86709,148.36185,27.42,-0.0575,0.26571,bearish
